Original Headline,Back-translated Headline
"""BJP May Get 350 Seats On Its Own, 5 In Tamil Nadu"": Top Economist To NDTV","""BJP can get 350 seats on its own, 5 on Tamil Nadu"": Economist superior to NDTV"
Case Against Karnataka BJP Chief BY Vijayendra Over Derogatory Post,Case against Karnataka Chief of the BJP of Vijayendra on derogatory charge
"Polling Official, Security Personnel Die Due To Cardiac Arrest During Voting In Arunachal","Polling officer, security personnel die from cardiac arrest during voting in Arunachal"
BJP's Moradabad Candidate Sarvesh Singh Dies A Day After UP Constituency Went To Polls,BJP candidate to Moradabad Sarvesh Singh dies one day after UP electoral district went to polls
"Lok Sabha Polls 2024: Police Case Against HD Kumaraswamy On Grounds Of ""False Statements""","Lok Sabha Polls 2024: Police case against HD Kumaraswamy on the basis of ""false statements"""
Lok Sabha Polls 2024: Over 2 Lakh Complaints Of Election Violation Received In Kerala,Lok Sabha Polls 2024: More than 2 Lakh Electoral Rape Complaints Received in Kerala
"Lok Sabha Polls 2024: Hema Malini's Daughters Isha, Ahana Visit Mathura To Campaign For Her","Lok Sabha Polls 2024: Daughters of Hema Malini Isha, Ahana Visit Mathura to campaign for her"
No One Stepped Out To Vote In Village Of Dreaded Maoist Leader,No one went out to vote in the village of the feared Maoist leader
"DK Shivakumar Faces Police Case For ""Undue Influence At Elections""","DK Shivakumar faces police case for ""undue influence on elections"""
"""Betrayers,"" Says Congress After Over 100 Leaders Join Madhya Pradesh BJP","""Traitors,"" says Congress after more than 100 leaders join Madhya Pradesh BJP"
"Poll Surveys Telecast On TV Channels Are ""BJP Inspired"", Claims Mamata Banerjee","Tele-directed surveys on television channels are ""inspired BJP,"" says Mamata Banerjee."
"2024 Elections A Battle Between PM Modi, Rahul Gandhi: Ajit Pawar","2024 Elections A battle between Prime Minister Modi, Rahul Gandhi: Ajit Pawar"
"""Congress A Vine, Sucks Dry Those Who Lend Support To It"": PM Modi","""Congress to the vine, stinks at those who support it"": PM Modi"
Andhra Congress Chief YS Sharmila Files Nomination For Kadapa Seat,Andhra Head of Congress YS Sharmila presents nomination for Kadapa Seat
"After Amethi, Congress's ""Sahabzade"" Will Lose Wayanad Seat Too: PM Modi","After Amethi, Congressional ""Sahabzade"" will also lose Wayanad's seat: PM Modi"
"Meet Isha Arora, Polling Agent In UP's Saharanpur Who Went Viral","Meet Isha Arora, polling agent in UP Saharanpur, who was viral"
Chief Justice Of India's Appeal To Voters For 2024 Lok Sabha Elections,Chief Justice of India Appeals to Voters for Lok Sabha Elections in 2024
